months_as_customer,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss
328,48,MALE,MD,craft-repair,sleeping,husband,53300,0
228,42,MALE,MD,machine-op-inspct,reading,other-relative,0,0
134,29,FEMALE,PhD,sales,board-games,own-child,35100,0
256,41,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400
228,44,MALE,Associate,sales,board-games,unmarried,66000,-46000
256,39,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0
137,34,MALE,PhD,prof-specialty,board-games,husband,0,-77000
165,37,MALE,Associate,tech-support,base-jumping,unmarried,0,0
27,33,FEMALE,PhD,other-service,golf,own-child,0,0
212,42,MALE,PhD,priv-house-serv,camping,wife,0,-39300
235,42,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0
447,61,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000
60,23,MALE,MD,protective-serv,reading,wife,0,0
121,34,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800
180,38,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500
473,58,FEMALE,MD,transport-moving,movies,other-relative,55700,0
70,26,MALE,College,machine-op-inspct,hiking,own-child,63600,0
140,31,MALE,High School,machine-op-inspct,reading,unmarried,53500,0
160,37,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800
196,39,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300
460,62,MALE,JD,other-service,bungie-jumping,own-child,0,0
217,41,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0
370,55,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200
413,55,MALE,MD,priv-house-serv,chess,own-child,0,-31000
237,40,MALE,College,craft-repair,kayaking,husband,0,-53500
8,35,MALE,Masters,sales,polo,own-child,0,0
257,43,MALE,High School,prof-specialty,golf,own-child,0,-29200
202,34,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200
224,40,FEMALE,JD,sales,kayaking,not-in-family,0,-55600
241,45,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0
64,25,MALE,Masters,prof-specialty,video-games,husband,53200,0
166,37,MALE,JD,craft-repair,reading,husband,27500,0
155,35,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0
114,30,MALE,High School,farming-fishing,video-games,wife,51400,-64000
149,37,MALE,PhD,prof-specialty,yachting,own-child,0,0
147,33,MALE,High School,craft-repair,reading,not-in-family,53300,-49200
62,28,FEMALE,Masters,protective-serv,camping,unmarried,0,0
289,49,FEMALE,JD,priv-house-serv,golf,unmarried,0,0
431,54,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0
199,37,MALE,JD,tech-support,video-games,wife,48500,0
79,26,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700
116,34,MALE,Associate,transport-moving,chess,unmarried,0,-24100
37,23,FEMALE,College,prof-specialty,hiking,husband,0,-67400
106,30,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200
269,44,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700
265,40,FEMALE,MD,protective-serv,yachting,husband,0,0
163,33,FEMALE,Associate,other-service,polo,husband,35300,0
355,47,MALE,College,other-service,kayaking,husband,0,0
175,34,FEMALE,PhD,protective-serv,dancing,other-relative,0,0
192,35,FEMALE,Masters,exec-managerial,movies,wife,0,-40300
430,59,MALE,MD,other-service,bungie-jumping,own-child,0,0
91,27,FEMALE,JD,farming-fishing,polo,husband,0,0
217,39,MALE,College,armed-forces,basketball,not-in-family,0,0
223,40,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500
195,39,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600
22,26,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0
439,56,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000
94,32,FEMALE,Masters,adm-clerical,hiking,own-child,0,0
11,39,MALE,PhD,other-service,yachting,husband,56600,-45800
151,36,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500
154,34,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0
245,44,MALE,JD,handlers-cleaners,basketball,husband,69100,0
119,32,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500
215,42,MALE,JD,transport-moving,video-games,own-child,0,-49000
295,42,MALE,PhD,sales,chess,not-in-family,62400,0
254,39,FEMALE,MD,exec-managerial,chess,other-relative,35700,0
107,31,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200
478,64,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0
128,30,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200
338,49,MALE,MD,other-service,kayaking,own-child,0,-51500
271,42,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000
222,41,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300
199,41,FEMALE,Associate,sales,paintball,husband,0,0
215,37,FEMALE,College,transport-moving,golf,not-in-family,0,-42900
192,40,FEMALE,Associate,sales,yachting,wife,0,0
120,35,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0
270,45,FEMALE,College,handlers-cleaners,golf,husband,0,-19700
319,47,MALE,College,transport-moving,dancing,not-in-family,0,0
194,39,FEMALE,JD,other-service,kayaking,wife,0,-45000
227,38,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0
137,31,MALE,High School,exec-managerial,paintball,husband,52700,-40600
244,40,FEMALE,Masters,exec-managerial,video-games,wife,0,0
78,29,MALE,Masters,other-service,bungie-jumping,other-relative,0,0
200,35,MALE,High School,exec-managerial,video-games,wife,57300,-80600
284,48,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200
275,41,MALE,High School,transport-moving,board-games,own-child,35700,0
153,34,FEMALE,Associate,priv-house-serv,yachting,husband,800,0
134,32,FEMALE,MD,other-service,yachting,own-child,36400,0
31,36,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600
41,25,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100
127,29,FEMALE,High School,sales,board-games,own-child,0,0
61,23,FEMALE,Associate,tech-support,exercise,own-child,0,-62400
207,42,MALE,PhD,farming-fishing,yachting,own-child,55200,0
219,43,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800
271,42,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0
80,25,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400
325,47,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0
29,25,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700
295,48,FEMALE,College,machine-op-inspct,kayaking,wife,0,0
239,42,MALE,College,exec-managerial,reading,not-in-family,0,0
269,41,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300
80,27,FEMALE,College,tech-support,exercise,unmarried,0,0
279,41,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700
165,33,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100
350,54,MALE,College,other-service,basketball,wife,50500,0
295,49,MALE,College,prof-specialty,kayaking,husband,34300,-24300
464,61,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400
118,28,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000
298,47,FEMALE,PhD,machine-op-inspct,basketball,other-relative,28800,0
87,31,FEMALE,Masters,sales,chess,husband,0,-47500
261,42,FEMALE,College,prof-specialty,video-games,unmarried,0,0
453,60,MALE,PhD,craft-repair,dancing,unmarried,52600,-38800
210,41,MALE,High School,exec-managerial,polo,other-relative,0,-41000
168,32,MALE,MD,protective-serv,camping,own-child,0,-40600
390,51,MALE,Associate,armed-forces,reading,other-relative,0,0
258,46,MALE,MD,machine-op-inspct,hiking,other-relative,34400,-56800
107,31,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,62000,-63100
225,41,MALE,High School,exec-managerial,exercise,unmarried,41200,-36200
164,38,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0
245,39,FEMALE,Associate,adm-clerical,camping,husband,58000,0
255,41,MALE,High School,priv-house-serv,board-games,other-relative,0,0
206,36,FEMALE,MD,other-service,video-games,other-relative,0,-53700
203,38,FEMALE,Masters,other-service,skydiving,not-in-family,0,0
22,25,FEMALE,College,prof-specialty,movies,other-relative,51100,0
211,35,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0
206,39,MALE,JD,craft-repair,dancing,unmarried,47200,-69700
166,38,MALE,MD,protective-serv,video-games,unmarried,59600,-32100
165,32,FEMALE,High School,tech-support,exercise,own-child,70500,0
274,43,MALE,College,farming-fishing,basketball,wife,40700,-47300
81,28,FEMALE,Masters,sales,sleeping,husband,42400,0
280,45,MALE,JD,machine-op-inspct,camping,wife,57900,0
194,39,MALE,Masters,adm-clerical,paintball,own-child,0,0
112,27,FEMALE,Masters,tech-support,exercise,unmarried,60000,-54800
24,33,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-45200
93,32,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600
171,34,FEMALE,College,exec-managerial,yachting,other-relative,84900,0
200,40,FEMALE,High School,sales,exercise,other-relative,45300,-20400
120,28,FEMALE,PhD,tech-support,golf,not-in-family,68900,0
325,46,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500
124,32,FEMALE,MD,other-service,hiking,not-in-family,0,-43200
211,35,MALE,Masters,machine-op-inspct,camping,other-relative,76000,0
287,41,MALE,Masters,transport-moving,video-games,wife,0,-49000
122,34,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700
22,29,MALE,MD,exec-managerial,yachting,other-relative,0,-56200
106,31,FEMALE,JD,farming-fishing,video-games,wife,54100,0
398,58,FEMALE,Associate,exec-managerial,cross-fit,wife,0,-57900
214,41,MALE,Masters,tech-support,polo,not-in-family,0,-57100
209,38,FEMALE,MD,other-service,golf,other-relative,58100,0
82,27,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200
193,41,FEMALE,JD,craft-repair,skydiving,not-in-family,0,0
134,32,FEMALE,PhD,farming-fishing,base-jumping,wife,0,0
288,45,MALE,Masters,priv-house-serv,polo,husband,0,0
104,32,MALE,High School,exec-managerial,kayaking,own-child,31900,-44600
431,54,FEMALE,Masters,craft-repair,paintball,own-child,17600,0
101,33,FEMALE,Masters,other-service,reading,own-child,52000,-44500
375,50,MALE,Associate,sales,bungie-jumping,other-relative,0,0
461,61,MALE,JD,exec-managerial,exercise,husband,0,0
428,59,FEMALE,JD,prof-specialty,hiking,other-relative,0,0
45,38,MALE,Masters,machine-op-inspct,movies,not-in-family,29000,0
136,29,FEMALE,JD,transport-moving,video-games,other-relative,62500,-66900
216,36,FEMALE,Associate,priv-house-serv,reading,unmarried,39600,-82400
278,48,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-54000
295,48,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100
112,30,FEMALE,Masters,prof-specialty,sleeping,not-in-family,47700,-59300
122,34,FEMALE,Masters,prof-specialty,polo,unmarried,38100,-31400
108,29,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400,0
14,28,FEMALE,Associate,craft-repair,board-games,unmarried,0,-26900
298,45,MALE,High School,farming-fishing,yachting,unmarried,0,-51100
276,46,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-50000
47,37,MALE,High School,other-service,movies,not-in-family,75400,0
222,42,MALE,Associate,armed-forces,hiking,not-in-family,0,0
119,28,MALE,High School,machine-op-inspct,hiking,husband,88800,0
73,29,MALE,College,protective-serv,board-games,wife,35100,-59900
8,31,FEMALE,MD,transport-moving,kayaking,wife,0,-88300
294,44,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0
324,46,MALE,MD,tech-support,board-games,wife,0,-41300
155,34,MALE,Masters,protective-serv,dancing,other-relative,0,0
261,45,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-45100
245,40,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900
235,39,MALE,MD,tech-support,exercise,wife,0,-31700
53,36,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0
426,54,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300
111,27,FEMALE,Masters,tech-support,exercise,husband,51100,0
86,26,MALE,JD,tech-support,cross-fit,other-relative,0,-30300
296,46,MALE,Masters,craft-repair,sleeping,not-in-family,0,0
125,35,MALE,JD,tech-support,cross-fit,husband,0,-51300
177,34,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700
238,39,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200
81,25,FEMALE,High School,tech-support,hiking,own-child,51000,-67900
128,28,FEMALE,High School,adm-clerical,polo,other-relative,62700,0
449,57,MALE,Associate,tech-support,movies,own-child,25000,0
252,39,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500
359,47,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0
19,32,MALE,High School,other-service,hiking,husband,42900,-90200
73,26,MALE,MD,farming-fishing,basketball,not-in-family,29300,0
285,44,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0
196,36,MALE,MD,armed-forces,skydiving,own-child,0,0
223,43,FEMALE,MD,adm-clerical,camping,not-in-family,0,0
328,48,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800
285,43,FEMALE,College,sales,paintball,other-relative,47600,0
30,31,MALE,PhD,craft-repair,golf,not-in-family,0,0
342,49,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800
219,39,FEMALE,High School,protective-serv,board-games,unmarried,0,0
468,62,MALE,PhD,machine-op-inspct,paintball,wife,0,0
241,39,MALE,JD,sales,kayaking,husband,0,0
223,43,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400
128,32,FEMALE,College,sales,chess,other-relative,0,-39300
124,29,MALE,Masters,handlers-cleaners,golf,husband,0,0
343,48,MALE,JD,adm-clerical,hiking,husband,0,0
404,53,MALE,Associate,sales,reading,not-in-family,25500,-36700
63,24,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0
210,37,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0
335,50,MALE,High School,sales,yachting,other-relative,62200,-31400
11,40,FEMALE,MD,prof-specialty,reading,wife,24000,0
142,33,FEMALE,JD,exec-managerial,cross-fit,wife,0,0
272,43,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0
69,26,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0
38,28,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700
328,46,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0
281,43,MALE,College,priv-house-serv,camping,other-relative,0,0
246,44,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600
298,49,FEMALE,College,other-service,exercise,own-child,47800,0
330,50,FEMALE,High School,sales,yachting,husband,0,0
362,50,MALE,Associate,sales,board-games,wife,53000,-72500
241,38,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0
245,41,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500
371,52,FEMALE,High School,other-service,paintball,own-child,0,-37100
343,52,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0
377,53,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000
154,37,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800
166,34,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200
298,46,MALE,JD,prof-specialty,dancing,own-child,36900,-55000
235,42,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200
172,35,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700
27,28,MALE,JD,farming-fishing,polo,other-relative,0,-32500
428,54,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400
99,32,MALE,JD,craft-repair,golf,unmarried,0,0
107,26,MALE,MD,sales,cross-fit,own-child,40600,0
272,41,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600
151,37,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0
249,43,FEMALE,MD,armed-forces,cross-fit,own-child,0,0
177,38,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500
190,40,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700
174,36,FEMALE,College,tech-support,paintball,own-child,53200,-53800
95,28,MALE,Associate,armed-forces,board-games,other-relative,0,-70300
371,51,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700
2,28,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0
269,44,FEMALE,JD,other-service,chess,own-child,0,-41400
101,27,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0
94,30,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600
117,28,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500
111,27,MALE,MD,sales,yachting,other-relative,0,0
242,40,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600
440,61,MALE,PhD,transport-moving,movies,wife,41500,-70200
20,23,FEMALE,JD,tech-support,base-jumping,wife,0,0
461,57,FEMALE,High School,farming-fishing,golf,own-child,0,0
208,36,MALE,Associate,craft-repair,base-jumping,other-relative,0,0
279,43,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0
244,40,FEMALE,MD,sales,base-jumping,husband,0,0
134,30,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0
122,29,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100
156,31,MALE,PhD,other-service,reading,husband,0,0
232,43,MALE,College,machine-op-inspct,golf,husband,0,-33600
244,40,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000
84,30,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500
394,57,FEMALE,High School,craft-repair,movies,own-child,51500,0
246,45,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100
35,29,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900
156,37,MALE,Associate,protective-serv,reading,other-relative,0,-61000
195,36,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300
369,55,MALE,College,handlers-cleaners,camping,husband,55400,0
271,40,FEMALE,Associate,other-service,camping,wife,71200,0
332,47,MALE,MD,craft-repair,paintball,other-relative,91900,0
107,26,FEMALE,JD,armed-forces,skydiving,wife,62800,0
217,39,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800
243,43,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700
296,42,MALE,Associate,tech-support,paintball,husband,53100,-63400
264,41,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0
108,33,FEMALE,JD,armed-forces,exercise,not-in-family,0,0
32,38,FEMALE,College,other-service,sleeping,own-child,0,0
259,39,FEMALE,JD,craft-repair,movies,unmarried,0,-83900
186,33,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600
201,40,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0
436,58,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600
189,36,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400
105,33,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900
163,31,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0
219,40,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0
88,25,FEMALE,JD,handlers-cleaners,movies,husband,0,0
40,39,FEMALE,College,sales,hiking,own-child,0,-33300
284,42,MALE,Associate,machine-op-inspct,kayaking,wife,0,0
59,40,MALE,College,protective-serv,golf,other-relative,64200,-32300
39,31,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700
147,34,MALE,High School,sales,dancing,wife,0,-48300
156,37,MALE,High School,exec-managerial,golf,unmarried,0,-51800
123,31,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600
231,43,MALE,College,protective-serv,reading,wife,0,-58100
247,39,FEMALE,College,handlers-cleaners,dancing,wife,0,0
194,35,FEMALE,MD,adm-clerical,golf,not-in-family,0,0
119,27,MALE,High School,transport-moving,video-games,other-relative,27100,0
259,43,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300
107,31,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700
48,44,MALE,College,sales,base-jumping,other-relative,34000,-55600
267,40,MALE,JD,transport-moving,camping,wife,0,-35200
286,47,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600
175,34,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100
111,29,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0
151,37,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0
156,37,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800
165,36,MALE,Masters,armed-forces,golf,husband,0,-39700
253,41,FEMALE,PhD,sales,dancing,other-relative,81300,0
10,26,MALE,MD,sales,base-jumping,not-in-family,0,-22200
158,33,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600
436,59,MALE,PhD,protective-serv,board-games,own-child,39000,0
91,30,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0
256,42,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500
274,46,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0
275,45,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900
1,33,FEMALE,High School,transport-moving,yachting,not-in-family,0,0
85,30,MALE,Associate,protective-serv,reading,other-relative,51600,-73900
233,37,FEMALE,High School,sales,video-games,wife,61600,-30200
142,30,MALE,JD,adm-clerical,polo,husband,58500,-46800
266,44,MALE,High School,handlers-cleaners,movies,husband,0,0
350,50,FEMALE,Masters,priv-house-serv,board-games,other-relative,0,0
97,26,MALE,College,exec-managerial,sleeping,not-in-family,0,0
399,55,MALE,JD,tech-support,sleeping,not-in-family,0,-65400
305,49,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100
276,47,MALE,PhD,craft-repair,yachting,own-child,0,0
257,40,MALE,MD,armed-forces,base-jumping,husband,0,0
78,31,MALE,PhD,protective-serv,board-games,own-child,0,-27900
129,28,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,0,0
283,46,FEMALE,PhD,transport-moving,reading,husband,53500,-73600
85,25,FEMALE,JD,tech-support,base-jumping,unmarried,67000,-53600
101,26,FEMALE,MD,prof-specialty,reading,husband,0,0
96,30,MALE,College,prof-specialty,hiking,wife,38900,-48700
121,31,FEMALE,JD,armed-forces,camping,unmarried,0,0
176,39,MALE,College,armed-forces,sleeping,unmarried,0,-56600
159,37,MALE,Associate,tech-support,camping,wife,0,-53700
120,30,FEMALE,Associate,priv-house-serv,movies,husband,39600,-64300
212,35,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200
290,45,FEMALE,JD,sales,cross-fit,wife,0,-61000
299,42,FEMALE,Associate,craft-repair,movies,wife,25000,0
66,26,MALE,College,armed-forces,skydiving,own-child,0,0
334,47,MALE,Masters,protective-serv,sleeping,other-relative,0,0
216,38,FEMALE,Associate,tech-support,board-games,unmarried,0,0
86,28,MALE,PhD,transport-moving,hiking,unmarried,75800,0
429,56,MALE,Associate,machine-op-inspct,skydiving,own-child,67400,-43800
257,43,FEMALE,PhD,handlers-cleaners,base-jumping,husband,46400,-74300
15,34,MALE,JD,tech-support,cross-fit,not-in-family,56700,0
230,39,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300
250,43,FEMALE,JD,tech-support,polo,own-child,47900,-73400
270,44,FEMALE,Associate,machine-op-inspct,paintball,other-relative,47200,0
65,26,FEMALE,High School,craft-repair,camping,unmarried,0,-41500
475,57,MALE,Masters,adm-clerical,skydiving,own-child,67400,-83200
77,27,FEMALE,High School,adm-clerical,base-jumping,own-child,56400,-32800
256,43,FEMALE,MD,prof-specialty,golf,unmarried,56700,-65600
229,37,FEMALE,MD,craft-repair,paintball,not-in-family,65600,0
110,28,MALE,College,other-service,movies,other-relative,30400,0
177,33,MALE,College,adm-clerical,yachting,wife,0,-13200
292,44,MALE,PhD,priv-house-serv,basketball,unmarried,0,0
451,61,FEMALE,Associate,transport-moving,polo,unmarried,0,-42600
61,24,FEMALE,College,priv-house-serv,paintball,other-relative,47400,0
150,30,MALE,MD,prof-specialty,polo,own-child,0,0
283,41,FEMALE,Associate,sales,reading,own-child,60700,-54300
291,46,FEMALE,High School,adm-clerical,polo,own-child,0,-55300
162,31,FEMALE,Masters,adm-clerical,chess,wife,30700,0
154,36,FEMALE,Masters,exec-managerial,dancing,own-child,68500,0
289,47,FEMALE,Associate,adm-clerical,hiking,own-child,73000,-37900
