claim_id,incident_id,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
1,1,71610,6510,13020,52080,YES
2,2,5070,780,780,3510,YES
3,3,34650,7700,3850,23100,NO
4,4,63400,6340,6340,50720,YES
5,5,6500,1300,650,4550,NO
6,6,64100,6410,6410,51280,YES
7,7,78650,21450,7150,50050,NO
8,8,51590,9380,9380,32830,NO
9,9,27700,2770,2770,22160,NO
10,10,42300,4700,4700,32900,NO
11,11,87010,7910,15820,63280,NO
12,12,114920,17680,17680,79560,NO
13,13,56520,4710,9420,42390,NO
14,14,7280,1120,1120,5040,NO
15,15,46200,4200,8400,33600,YES
16,16,63120,10520,10520,42080,YES
17,17,52110,5790,5790,40530,NO
18,18,77880,14160,7080,56640,NO
19,19,72930,6630,13260,53040,NO
20,20,60400,6040,6040,48320,NO
21,21,47160,0,5240,41920,NO
22,22,37840,0,4730,33110,NO
23,23,71520,17880,5960,47680,YES
24,24,98160,8180,16360,73620,YES
25,25,77880,7080,14160,56640,NO
26,26,71500,16500,11000,44000,YES
27,27,9020,1640,820,6560,NO
28,28,5720,1040,520,4160,YES
29,29,69840,7760,15520,46560,NO
30,30,91650,14100,14100,63450,NO
31,31,75600,12600,12600,50400,NO
32,32,67140,7460,7460,52220,YES
33,33,29790,3310,3310,23170,NO
34,34,77110,14020,14020,49070,NO
35,35,64800,10800,5400,48600,NO
36,36,53100,10620,5310,37170,YES
37,37,60200,6020,6020,48160,YES
38,38,5330,1230,820,3280,NO
39,39,62300,12460,6230,43610,NO
40,40,60170,10940,10940,38290,YES
41,41,40000,8000,4000,28000,NO
42,42,97080,16180,16180,64720,YES
43,43,51660,5740,5740,40180,NO
44,44,51120,5680,5680,39760,NO
45,45,56400,11280,11280,33840,NO
46,46,55120,6890,0,48230,NO
47,47,77110,0,14020,63090,NO
48,48,62800,6280,6280,50240,YES
49,49,7290,810,810,5670,NO
50,50,76600,15320,7660,53620,NO
51,51,81800,16360,8180,57260,NO
52,52,7260,1320,660,5280,NO
53,53,4300,430,430,3440,NO
54,54,70510,12820,12820,44870,NO
55,55,2640,480,480,1680,NO
56,56,78900,15780,7890,55230,NO
57,57,56430,0,6270,50160,NO
58,58,2400,300,300,1800,NO
59,59,65790,7310,7310,51170,NO
60,60,62920,11440,5720,45760,NO
61,61,69480,15440,0,54040,YES
62,62,44280,7380,3690,33210,NO
63,63,56300,5630,11260,39410,NO
