insured_id,insured_zip,age,gender,education_level,occupation,hobbies,relationship,capital_gains,capital_loss
1,466132,48,MALE,MD,craft-repair,sleeping,husband,53300,0
2,468176,42,MALE,MD,machine-op-inspct,reading,other-relative,0,0
3,430632,29,FEMALE,PhD,sales,board-games,own-child,35100,0
4,608117,41,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400
5,610706,44,MALE,Associate,sales,board-games,unmarried,66000,-46000
6,478456,39,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0
7,441716,34,MALE,PhD,prof-specialty,board-games,husband,0,-77000
8,603195,37,MALE,Associate,tech-support,base-jumping,unmarried,0,0
9,601734,33,FEMALE,PhD,other-service,golf,own-child,0,0
10,600983,42,MALE,PhD,priv-house-serv,camping,wife,0,-39300
11,462283,42,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0
12,615561,61,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000
13,432220,23,MALE,MD,protective-serv,reading,wife,0,0
14,464652,34,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800
15,476685,38,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500
16,458733,58,FEMALE,MD,transport-moving,movies,other-relative,55700,0
17,619884,26,MALE,College,machine-op-inspct,hiking,own-child,63600,0
18,470610,31,MALE,High School,machine-op-inspct,reading,unmarried,53500,0
19,472135,37,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800
20,477670,39,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300
21,618845,62,MALE,JD,other-service,bungie-jumping,own-child,0,0
22,442479,41,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0
23,443920,55,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200
24,453148,55,MALE,MD,priv-house-serv,chess,own-child,0,-31000
25,434733,40,MALE,College,craft-repair,kayaking,husband,0,-53500
26,613982,35,MALE,Masters,sales,polo,own-child,0,0
27,436984,43,MALE,High School,prof-specialty,golf,own-child,0,-29200
28,607730,34,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200
29,609837,40,FEMALE,JD,sales,kayaking,not-in-family,0,-55600
30,432211,45,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0
31,473328,25,MALE,Masters,prof-specialty,video-games,husband,53200,0
32,610393,37,MALE,JD,craft-repair,reading,husband,27500,0
33,614780,35,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0
34,472248,30,MALE,High School,farming-fishing,video-games,wife,51400,-64000
35,603381,37,MALE,PhD,prof-specialty,yachting,own-child,0,0
36,479224,33,MALE,High School,craft-repair,reading,not-in-family,53300,-49200
37,430141,28,FEMALE,Masters,protective-serv,camping,unmarried,0,0
38,620757,49,FEMALE,JD,priv-house-serv,golf,unmarried,0,0
39,615901,54,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0
40,474615,37,MALE,JD,tech-support,video-games,wife,48500,0
41,456446,26,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700
42,470577,34,MALE,Associate,transport-moving,chess,unmarried,0,-24100
43,441648,23,FEMALE,College,prof-specialty,hiking,husband,0,-67400
44,433782,30,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200
45,468104,44,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700
46,459407,40,FEMALE,MD,protective-serv,yachting,husband,0,0
47,472573,33,FEMALE,Associate,other-service,polo,husband,35300,0
48,433473,47,MALE,College,other-service,kayaking,husband,0,0
49,446326,34,FEMALE,PhD,protective-serv,dancing,other-relative,0,0
50,435481,35,FEMALE,Masters,exec-managerial,movies,wife,0,-40300
51,477310,59,MALE,MD,other-service,bungie-jumping,own-child,0,0
52,609930,27,FEMALE,JD,farming-fishing,polo,husband,0,0
53,603993,39,MALE,College,armed-forces,basketball,not-in-family,0,0
54,437818,40,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500
55,478423,39,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600
56,467784,26,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0
57,606714,56,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000
58,464691,32,FEMALE,Masters,adm-clerical,hiking,own-child,0,0
59,431683,39,MALE,PhD,other-service,yachting,husband,56600,-45800
60,431725,36,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500
61,609216,34,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0
62,452787,44,MALE,JD,handlers-cleaners,basketball,husband,69100,0
63,468767,32,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500
64,435489,42,MALE,JD,transport-moving,video-games,own-child,0,-49000
65,450149,42,MALE,PhD,sales,chess,not-in-family,62400,0
66,458364,39,FEMALE,MD,exec-managerial,chess,other-relative,35700,0
67,476458,31,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200
68,602433,64,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0
69,478575,30,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200
70,449718,49,MALE,MD,other-service,kayaking,own-child,0,-51500
71,463181,42,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000
72,441992,41,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300
73,452597,41,FEMALE,Associate,sales,paintball,husband,0,0
74,614417,37,FEMALE,College,transport-moving,golf,not-in-family,0,-42900
