policy_number,insured_id,months_as_customer,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit
521585,1,328,2014-10-17,OH,250/500,1000,1406.91,0
342868,2,228,2006-06-27,IN,250/500,2000,1197.22,5000000
687698,3,134,2000-09-06,OH,100/300,2000,1413.14,5000000
227811,4,256,1990-05-25,IL,250/500,2000,1415.74,6000000
367455,5,228,2014-06-06,IL,500/1000,1000,1583.91,6000000
104594,6,256,2006-10-12,OH,250/500,1000,1351.1,0
413978,7,137,2000-06-04,IN,250/500,1000,1333.35,0
429027,8,165,1990-02-03,IL,100/300,1000,1137.03,0
485665,9,27,1997-02-05,IL,100/300,500,1442.99,0
636550,10,212,2011-07-25,IL,100/300,500,1315.68,0
543610,11,235,2002-05-26,OH,100/300,500,1253.12,4000000
214618,12,447,1999-05-29,OH,100/300,2000,1137.16,0
842643,13,60,1997-11-20,OH,500/1000,500,1215.36,3000000
626808,14,121,2012-10-26,OH,100/300,1000,936.61,0
644081,15,180,1998-12-28,OH,250/500,2000,1301.13,0
892874,16,473,1992-10-19,IN,100/300,2000,1131.4,0
558938,17,70,2005-06-08,OH,500/1000,1000,1199.44,5000000
275265,18,140,2004-11-15,IN,500/1000,500,708.64,6000000
921202,19,160,2014-12-28,OH,500/1000,500,1374.22,0
143972,20,196,1992-08-02,IN,500/1000,2000,1475.73,0
183430,21,460,2002-06-25,IN,250/500,1000,1187.96,4000000
431876,22,217,2005-11-27,IL,500/1000,2000,875.15,0
285496,23,370,1994-05-27,IL,100/300,2000,972.18,0
115399,24,413,1991-02-08,IN,100/300,2000,1268.79,0
736882,25,237,1996-02-02,IN,100/300,1000,883.31,0
699044,26,8,2013-12-05,OH,100/300,2000,1266.92,0
863236,27,257,1990-09-20,IN,100/300,2000,1322.1,0
608513,28,202,2002-07-18,IN,100/300,500,848.07,3000000
914088,29,224,1990-02-08,OH,100/300,2000,1291.7,0
596785,30,241,2014-03-04,IL,500/1000,2000,1104.5,0
908616,31,64,2000-02-18,IL,250/500,1000,954.16,0
666333,32,166,2008-06-19,IL,100/300,2000,1337.28,8000000
336614,33,155,2003-08-01,IL,500/1000,1000,1088.34,0
584859,34,114,1992-04-04,IL,100/300,1000,1558.29,0
990493,35,149,1991-01-13,IL,500/1000,500,1415.68,0
129872,36,147,2010-08-08,OH,100/300,1000,1334.15,6000000
200152,37,62,2003-03-09,IL,100/300,1000,988.45,0
933293,38,289,1993-02-03,IL,500/1000,2000,1222.48,0
485664,39,431,2002-11-25,IN,500/1000,2000,1155.55,0
982871,40,199,1997-07-27,IN,250/500,500,1262.08,0
206213,41,79,1995-05-08,IL,100/300,500,1451.62,0
616337,42,116,2012-08-30,IN,250/500,500,1737.66,0
448961,43,37,2006-04-30,IL,500/1000,500,1475.93,0
790442,44,106,2003-04-13,OH,250/500,500,538.17,0
108844,45,269,2007-12-05,IL,100/300,2000,1081.08,0
430029,46,265,2006-08-21,IL,250/500,1000,1454.43,0
529112,47,163,1990-01-08,IN,100/300,500,1240.47,0
939631,48,355,1990-03-18,OH,500/1000,2000,1273.7,4000000
866931,49,175,2008-01-07,IN,500/1000,1000,1123.87,8000000
582011,50,192,1997-03-10,IL,100/300,1000,1245.89,0
691189,51,430,2004-01-10,OH,250/500,2000,1326.62,7000000
537546,52,91,1994-08-20,IL,100/300,2000,1073.83,0
394975,53,217,2002-06-02,IN,100/300,1000,1530.52,0
729634,54,223,1994-04-28,IN,100/300,500,1201.41,0
282195,55,195,2014-08-17,OH,250/500,1000,1393.57,0
420810,56,22,2007-08-11,OH,100/300,1000,1276.57,0
524836,57,439,2008-11-20,IN,250/500,500,1082.49,0
307195,58,94,1995-10-18,IN,500/1000,1000,1414.74,0
623648,59,11,1993-05-19,IL,250/500,2000,1470.06,0
485372,60,151,2005-02-26,OH,250/500,2000,870.63,0
598554,61,154,1990-02-14,IN,100/300,500,795.23,0
303987,62,245,1993-09-30,IL,500/1000,1000,1168.2,0
343161,63,119,2014-06-10,IL,500/1000,1000,993.51,0
519312,64,215,2008-10-28,OH,500/1000,500,1848.81,0
132902,65,295,2007-04-24,OH,250/500,2000,1641.73,5000000
332867,66,254,1993-12-13,IN,100/300,500,1362.87,0
356590,67,107,2011-08-17,IN,250/500,500,1239.22,7000000
346002,68,478,1990-08-20,OH,250/500,500,835.02,0
500533,69,128,1994-02-11,OH,100/300,1000,1061.33,0
348209,70,338,1994-02-22,IN,500/1000,1000,1279.08,0
486676,71,271,2011-08-15,OH,100/300,500,1105.49,0
260845,72,222,1998-11-11,OH,100/300,2000,1055.53,0
657045,73,199,1995-12-04,OH,250/500,1000,895.83,0
761189,74,215,2002-12-28,IN,100/300,500,1632.93,0
175177,75,192,2004-04-15,IL,100/300,1000,1405.99,0
116700,76,120,2001-02-02,OH,100/300,1000,1425.54,0
166264,77,270,2010-01-12,OH,500/1000,1000,1038.09,0
527945,78,319,1992-04-14,IN,250/500,500,1307.11,0
627540,79,194,2010-05-21,OH,500/1000,1000,1489.24,6000000
279422,80,227,2013-10-27,OH,500/1000,500,976.67,0
484200,81,137,1994-10-12,OH,250/500,2000,1340.43,0
645258,82,244,1997-07-04,OH,500/1000,2000,1267.81,5000000
694662,83,78,2011-02-15,IL,250/500,1000,1234.2,6000000
960680,84,200,1994-08-21,IN,250/500,2000,1318.06,0
498140,85,284,1997-05-15,IN,500/1000,2000,769.95,0
498875,86,275,1996-10-26,OH,100/300,2000,1514.72,0
798177,87,153,2006-03-04,IL,500/1000,1000,873.64,4000000
614763,88,134,1991-01-02,IL,500/1000,500,1612.43,0
679370,89,31,1999-08-15,IL,500/1000,2000,1318.24,9000000
958857,90,41,1992-01-15,IN,100/300,1000,1226.83,0
686816,91,127,1999-12-07,OH,250/500,2000,1326.44,5000000
127754,92,61,1993-06-06,IL,250/500,2000,1136.83,4000000
918629,93,207,2000-10-03,IL,250/500,2000,1322.78,0
731450,94,219,2010-12-29,IN,100/300,1000,1483.25,0
307447,95,271,1990-03-17,IL,100/300,500,1515.3,0
992145,96,80,2012-03-01,IL,100/300,2000,1075.18,5000000
900628,97,325,2006-02-05,IN,500/1000,1000,1690.27,0
235220,98,29,2014-11-01,IL,250/500,2000,1352.83,0
740019,99,295,2009-06-17,OH,250/500,1000,1148.73,0
246882,100,239,1999-09-20,IL,100/300,1000,969.5,0
797613,101,269,1990-10-19,IN,100/300,500,1463.82,0
193442,102,80,1996-08-05,IL,100/300,1000,1474.17,0
389238,103,279,2001-06-06,IL,250/500,500,1497.35,0
760179,104,165,2007-03-25,OH,100/300,1000,1427.14,0
939905,105,350,2013-10-31,OH,500/1000,500,1495.1,0
872814,106,295,1992-06-13,IL,100/300,500,1141.62,0
632627,107,464,1990-10-07,OH,500/1000,1000,1125.37,0
283414,108,118,1991-12-28,IN,500/1000,2000,1207.36,0
163161,109,298,1998-11-11,IL,500/1000,2000,1338.5,0
853360,110,87,2009-06-26,IN,500/1000,1000,1074.07,0
776860,111,261,2009-01-11,OH,250/500,500,1337.56,0
149367,112,453,2003-03-18,IN,100/300,500,1298.91,6000000
395269,113,210,2012-11-02,IL,500/1000,500,1222.75,0
981123,114,168,2000-05-04,IN,100/300,1000,1059.52,0
143626,115,390,1999-09-29,OH,250/500,2000,1124.38,0
648397,116,258,1999-03-09,IN,100/300,1000,1110.37,10000000
154982,117,107,1991-02-13,IL,500/1000,2000,1374.22,0
330591,118,225,1993-08-05,OH,500/1000,2000,1103.58,0
319232,119,164,1997-10-31,IL,250/500,2000,1269.76,0
531640,120,245,2001-04-21,OH,250/500,500,964.79,8000000
368050,121,255,2013-01-08,IL,500/1000,2000,1167.3,4000000
253791,122,206,2009-07-23,IL,500/1000,500,1625.45,4000000
155724,123,203,1998-02-20,IL,250/500,500,1394.43,0
824540,124,22,2008-03-13,OH,250/500,2000,1053.24,0
717392,125,211,1996-08-20,IL,100/300,500,1040.75,0
965768,126,206,2014-07-27,IN,250/500,1000,1302.4,6000000
414779,127,166,1992-11-09,IL,100/300,2000,1588.55,0
428230,128,165,2012-06-04,IN,500/1000,500,1399.26,0
517240,129,274,2001-05-13,OH,100/300,2000,1352.31,0
469874,130,81,2011-09-17,IL,250/500,1000,1139.0,6000000
718428,131,280,2011-07-15,IN,250/500,1000,1397.67,0
620215,132,194,2005-07-27,IN,250/500,500,823.17,0
618659,133,112,2005-10-18,OH,100/300,500,965.13,0
649082,134,24,1996-01-19,IL,500/1000,1000,1922.84,0
437573,135,93,2005-09-29,OH,250/500,2000,1624.82,0
964657,136,171,1997-02-18,IN,250/500,2000,1277.25,0
932502,137,200,2010-05-11,IL,100/300,1000,1439.34,0
434507,138,120,2009-02-06,IL,250/500,1000,1281.27,0
935277,139,325,2013-07-09,IL,500/1000,500,1348.83,0
756054,140,124,1992-06-06,IL,250/500,1000,1198.15,0
682387,141,211,1998-03-08,OH,100/300,2000,1221.22,0
456604,142,287,2004-03-29,IL,500/1000,2000,968.74,0
139872,143,122,2006-06-01,IN,250/500,1000,1220.71,0
354105,144,22,1994-06-08,IN,250/500,2000,1238.62,6000000
165485,145,106,1998-02-12,IL,500/1000,2000,1320.75,0
515050,146,398,2000-11-16,OH,100/300,500,990.98,0
795686,147,214,2004-10-24,IL,500/1000,500,1398.51,4000000
395983,148,209,2009-11-08,OH,100/300,500,1355.08,0
119513,149,82,1996-09-21,IL,100/300,1000,1384.51,0
217938,150,193,1995-07-16,OH,250/500,500,847.03,0
203914,151,134,2001-06-09,OH,100/300,1000,1000.06,0
565157,152,288,2002-10-06,IL,100/300,1000,1046.71,0
904191,153,104,1997-07-14,IN,250/500,500,1158.03,0
419510,154,431,1994-11-11,OH,100/300,1000,1372.27,0
575000,155,101,2012-06-23,OH,100/300,1000,1053.04,7000000
120485,156,375,2007-02-18,OH,100/300,1000,1275.39,0
781181,157,461,2005-06-27,OH,100/300,2000,1402.75,0
299796,158,428,1999-09-29,IN,250/500,500,1344.36,7000000
589749,159,45,2006-05-14,IN,100/300,1000,1197.71,0
854021,160,136,2010-04-29,OH,100/300,500,1203.24,0
454086,161,216,1992-11-10,IN,500/1000,1000,1152.4,0
139484,162,278,1999-07-24,IN,500/1000,2000,1142.62,7000000
678849,163,295,1992-02-22,OH,500/1000,1000,1332.07,0
346940,164,112,2002-09-13,OH,500/1000,1000,1166.54,0
985436,165,122,2003-08-09,IL,250/500,500,1495.06,0
237418,166,108,2007-12-04,IN,500/1000,1000,1337.92,0
335780,167,14,2002-07-22,OH,250/500,2000,1587.96,0
491392,168,298,1992-07-03,IL,500/1000,1000,1362.29,0
140880,169,276,2005-03-29,IL,250/500,500,1448.84,0
962591,170,47,2008-03-16,IN,250/500,2000,1241.97,0
922565,171,222,1999-05-23,IL,250/500,500,1124.6,0
288580,172,119,2012-11-22,OH,250/500,2000,1079.92,0
154280,173,73,1993-01-29,IL,250/500,1000,1447.78,0
425973,174,8,2003-02-11,IN,250/500,500,1229.16,4000000
477177,175,294,1990-08-15,IL,100/300,1000,1226.49,0
648509,176,324,2010-03-06,IN,100/300,2000,897.89,6000000
914815,177,155,1990-09-27,IN,100/300,500,1706.79,0
249048,178,261,2005-06-17,IL,250/500,1000,1254.18,0
144323,179,245,2001-09-14,IN,500/1000,500,885.08,0
651861,180,235,2011-01-07,IL,100/300,500,1046.58,4000000
125324,181,53,2003-09-13,OH,500/1000,2000,1712.68,0
398102,182,426,1997-10-24,IL,500/1000,2000,1097.71,0
514065,183,111,2009-01-04,IN,250/500,500,1363.77,4000000
391652,184,86,1998-10-12,OH,100/300,500,1382.88,7000000
922167,185,296,1993-02-23,OH,100/300,1000,1141.35,7000000
442795,186,125,1996-07-07,OH,500/1000,500,1054.83,7000000
226330,187,177,2013-01-23,IL,100/300,2000,1057.77,0
134430,188,238,2006-12-06,IN,250/500,2000,1488.02,0
524230,189,81,2014-02-23,IN,100/300,500,920.3,5000000
438817,190,128,2007-11-16,OH,500/1000,1000,986.53,0
293794,191,449,1999-04-17,OH,250/500,2000,1440.68,0
868283,192,252,2006-02-06,IN,250/500,1000,1086.21,0
828890,193,359,1993-10-20,OH,100/300,2000,1367.68,0
882920,194,19,2006-01-01,OH,500/1000,1000,1215.85,0
918777,195,73,2003-04-04,IL,250/500,2000,1191.19,4000000
212580,196,285,2014-07-05,IL,500/1000,1000,1594.45,0
602410,197,196,1996-01-16,IN,250/500,2000,1463.07,0
976971,198,223,2002-04-19,OH,250/500,500,1734.09,0
630226,199,328,2005-12-10,IL,250/500,500,1411.43,0
171254,200,285,1994-11-07,OH,100/300,2000,1512.58,0
247116,201,30,2012-06-02,IL,250/500,2000,1153.35,0
505969,202,342,1998-04-07,OH,250/500,500,1722.95,0
653864,203,219,2007-04-25,IN,250/500,2000,1281.07,7000000
586367,204,468,2000-06-30,IL,100/300,500,1011.92,0
896890,205,241,1996-06-04,IL,250/500,2000,1042.26,0
650026,206,223,2009-05-09,OH,500/1000,500,1235.1,0
547744,207,128,2001-07-08,OH,100/300,2000,768.91,0
598124,208,124,1993-09-20,OH,500/1000,500,1301.72,0
436126,209,343,2009-11-03,IN,250/500,500,1451.54,3000000
739447,210,404,2014-12-10,IN,250/500,500,767.14,0
427484,211,63,1994-01-08,OH,250/500,2000,1620.89,0
218684,212,210,2006-08-05,IN,500/1000,2000,1048.46,0
565564,213,335,2007-02-07,OH,100/300,1000,1538.26,6000000
743163,214,11,2001-04-09,OH,500/1000,2000,1217.69,0
604614,215,142,1995-02-17,IN,100/300,2000,1362.64,5000000
509928,216,272,1995-07-25,OH,100/300,1000,1279.13,0
593390,217,69,2006-03-24,IL,100/300,2000,924.72,0
970607,218,38,1995-03-28,OH,250/500,1000,1019.44,0
174701,219,328,1996-06-19,IL,500/1000,500,1314.6,0
529398,220,281,1993-06-16,OH,100/300,1000,1515.18,6000000
940942,221,246,2001-07-11,OH,250/500,2000,1649.18,0
442677,222,298,2008-11-22,OH,250/500,500,1451.01,0
365364,223,330,2002-12-28,IL,500/1000,1000,978.46,0
114839,224,362,2006-01-01,IL,250/500,500,1198.34,4000000
872734,225,241,1990-05-19,IN,100/300,2000,1003.23,0
267885,226,245,2013-08-26,IN,500/1000,2000,1212.0,0
740505,227,371,1997-10-12,IL,250/500,1000,1242.96,7000000
629663,228,343,2002-01-21,IL,500/1000,1000,1053.02,0
839884,229,377,1996-09-02,IL,100/300,500,1693.63,0
241562,230,154,2010-01-28,IL,250/500,1000,2047.59,0
405533,231,166,2014-10-03,OH,100/300,1000,1083.72,0
667021,232,298,2007-05-02,OH,500/1000,1000,1138.42,6000000
511621,233,235,1990-09-22,IN,250/500,500,1072.62,0
476923,234,172,2004-09-19,IL,100/300,2000,1219.04,0
735822,235,27,1995-08-28,IN,100/300,2000,1371.78,0
492745,236,428,2004-02-04,IN,100/300,2000,1506.21,0
130930,237,99,2014-07-23,IN,100/300,1000,1058.21,3000000
261119,238,107,1997-03-21,IL,500/1000,2000,932.14,0
280709,239,272,1991-05-06,OH,500/1000,2000,1608.34,0
898573,240,151,1992-08-07,IN,500/1000,1000,1728.56,0
547802,241,249,2013-09-03,IL,250/500,1000,1518.46,0
600845,242,177,2012-01-05,IL,100/300,2000,1540.19,0
390381,243,190,2007-01-27,OH,500/1000,2000,965.21,0
629918,244,174,2005-10-14,IL,100/300,2000,1278.75,0
208298,245,95,1990-11-03,OH,250/500,1000,773.99,0
513099,246,371,2005-10-15,IN,500/1000,1000,1532.47,0
184938,247,2,1999-05-22,IL,250/500,1000,1340.56,0
187775,248,269,2002-12-21,OH,100/300,500,1297.75,4000000
326322,249,101,2007-02-10,IL,250/500,1000,433.33,0
146138,250,94,2002-03-01,IN,250/500,2000,1025.54,0
336047,251,117,2003-04-21,OH,250/500,500,1264.77,0
532330,252,111,2002-09-22,OH,250/500,500,1459.97,5000000
118137,253,242,1998-02-10,OH,100/300,500,1238.65,0
212674,254,440,1992-09-01,OH,250/500,500,1050.76,0
935596,255,20,1999-05-01,OH,500/1000,1000,1711.72,0
737593,256,461,1997-12-19,IL,100/300,500,865.33,7000000
812025,257,208,2000-06-18,IL,250/500,500,1153.49,0
168151,258,279,1995-04-24,OH,500/1000,2000,1281.25,0
594739,259,244,2006-06-16,IL,100/300,500,1342.8,0
843227,260,134,2007-09-28,OH,250/500,2000,1443.32,0
283925,261,122,1991-11-21,OH,250/500,1000,1629.94,0
475588,262,156,1996-09-21,IL,100/300,2000,1134.08,0
751905,263,232,2001-05-16,OH,250/500,500,1483.91,8000000
226725,264,244,1999-08-11,IN,500/1000,2000,1304.67,7000000
942504,265,84,2003-06-16,IL,500/1000,2000,1035.79,0
395572,266,394,1999-03-30,IL,250/500,500,1401.2,0
889883,267,246,1999-02-03,IL,250/500,1000,1665.45,0
818167,268,35,2011-08-25,IN,500/1000,2000,653.66,0
277767,269,156,2010-06-28,OH,100/300,500,1080.13,0
842618,270,195,2001-11-06,IN,100/300,2000,1346.18,0
577810,271,369,2013-04-15,OH,250/500,2000,1589.54,0
873114,272,271,1995-12-07,IL,100/300,1000,1251.65,0
994538,273,332,1991-11-01,IL,100/300,2000,1083.01,0
727792,274,107,2014-05-19,OH,100/300,500,974.59,0
522506,275,217,1992-03-15,IL,500/1000,2000,1399.85,0
367595,276,243,2006-02-03,IN,500/1000,500,1307.74,0
586104,277,296,2003-03-16,IN,250/500,2000,1219.27,0
424862,278,264,2002-10-16,OH,100/300,500,1411.3,0
512813,279,108,1990-01-27,IL,100/300,2000,694.45,0
356768,280,32,2010-03-11,IL,100/300,500,1006.77,6000000
330506,281,259,1995-09-19,OH,250/500,1000,1422.36,0
779075,282,186,2010-02-27,IN,100/300,1000,1348.32,0
799501,283,201,1991-12-28,OH,250/500,2000,1315.56,0
987905,284,436,2002-04-30,OH,250/500,2000,1407.01,5000000
967756,285,189,2007-04-28,OH,250/500,2000,1388.58,0
830414,286,105,1996-07-08,IL,500/1000,500,1310.76,0
127313,287,163,2002-04-01,IN,100/300,1000,1004.63,6000000
786957,288,219,2006-10-29,OH,100/300,500,1134.91,0
332892,289,88,2007-10-25,IN,250/500,1000,1194.0,0
448642,290,40,2001-03-28,IN,500/1000,1000,1248.25,4000000
526039,291,284,1995-05-04,OH,100/300,500,1338.54,-1000000
444422,292,59,2011-09-28,IL,250/500,2000,782.23,0
689500,293,39,2003-01-28,IL,250/500,2000,1366.9,0
806081,294,147,2011-02-01,IL,500/1000,1000,1275.81,0
384618,295,156,1993-02-09,IN,250/500,500,1090.65,0
756459,296,123,2005-08-05,IN,250/500,500,1326.0,0
655787,297,231,2006-06-17,IL,250/500,2000,972.47,0
419954,298,247,1993-12-07,IL,100/300,500,806.31,0
275092,299,194,2012-03-14,IL,500/1000,500,1416.24,0
515698,300,119,1997-08-05,IN,250/500,2000,1097.64,0
