vehicle_id,policy_number,auto_make,auto_model,auto_year
1,521585,Saab,92x,2004
2,342868,Mercedes,E400,2007
3,687698,Dodge,RAM,2007
4,227811,Chevrolet,Tahoe,2014
5,367455,Accura,RSX,2009
6,104594,Saab,95,2003
7,413978,Nissan,Pathfinder,2012
8,429027,Audi,A5,2015
9,485665,Toyota,Camry,2012
10,636550,Saab,92x,1996
11,543610,Ford,F150,2002
12,214618,Audi,A3,2006
13,842643,Saab,95,2000
14,626808,Toyota,Highlander,2010
15,644081,Dodge,Neon,2003
16,892874,Accura,MDX,1999
17,558938,Nissan,Maxima,2012
18,275265,Suburu,Legacy,2015
19,921202,Accura,TL,2015
20,143972,Nissan,Pathfinder,2014
21,183430,Suburu,Impreza,2011
22,431876,Accura,RSX,1996
23,285496,Suburu,Forrestor,2000
24,115399,Dodge,RAM,2011
25,736882,Ford,Escape,2005
26,699044,Ford,Escape,2006
27,863236,Toyota,Camry,2005
28,608513,Suburu,Forrestor,2003
29,914088,Dodge,Neon,2009
30,596785,Accura,TL,2011
31,908616,Toyota,Corolla,2005
32,666333,Ford,F150,2006
33,336614,BMW,3 Series,2008
34,584859,Suburu,Impreza,2015
35,990493,Audi,A3,1999
36,129872,Mercedes,C300,1995
37,200152,Suburu,Forrestor,2004
38,933293,Suburu,Legacy,2001
39,485664,Jeep,Wrangler,2007
40,982871,Nissan,Pathfinder,2011
41,206213,BMW,M5,2010
42,616337,BMW,X5,2001
43,448961,Dodge,RAM,2010
44,790442,Mercedes,E400,2005
45,108844,Toyota,Highlander,2014
46,430029,Accura,MDX,2002
47,529112,Honda,Civic,2014
48,939631,Audi,A3,2003
49,866931,Volkswagen,Passat,1995
50,582011,Mercedes,C300,2000
51,691189,Nissan,Pathfinder,1998
52,537546,BMW,M5,2008
53,394975,Toyota,Corolla,2000
54,729634,Suburu,Forrestor,1999
55,282195,Ford,F150,2009
56,420810,Chevrolet,Silverado,1995
57,524836,Honda,CRV,2014
58,307195,Chevrolet,Silverado,2014
59,623648,Saab,93,2007
60,485372,Ford,Escape,2000
61,598554,Nissan,Maxima,2014
62,303987,Honda,Accord,1997
63,343161,BMW,M5,2011
64,519312,Suburu,Legacy,2003
65,132902,Ford,Escape,2006
66,332867,Dodge,Neon,1995
67,356590,Audi,A5,2009
68,346002,BMW,X6,1998
69,500533,Audi,A5,1997
70,348209,Ford,F150,2004
71,486676,Audi,A3,2003
72,260845,Honda,Civic,1995
73,657045,Chevrolet,Malibu,1999
74,761189,Mercedes,C300,2002
75,175177,BMW,X6,2005
76,116700,Ford,Fusion,2010
77,166264,Suburu,Legacy,1998
78,527945,Audi,A3,2005
79,627540,Saab,95,2004
80,279422,BMW,M5,2013
81,484200,Accura,MDX,2005
82,645258,Accura,TL,2005
83,694662,Nissan,Maxima,2002
84,960680,Volkswagen,Jetta,2002
85,498140,Audi,A3,2013
86,498875,Suburu,Legacy,2007
87,798177,Ford,F150,2007
88,614763,BMW,3 Series,2015
89,679370,Dodge,Neon,2002
90,958857,Accura,MDX,2011
91,686816,Saab,93,1995
92,127754,Honda,Accord,2004
93,918629,BMW,X5,2007
94,731450,Ford,Fusion,2009
95,307447,Mercedes,ML350,2005
96,992145,Toyota,Highlander,2001
97,900628,Dodge,RAM,2006
98,235220,Nissan,Pathfinder,2013
99,740019,Saab,95,1999
100,246882,Audi,A3,2007
101,797613,Saab,92x,2007
102,193442,Saab,95,2004
103,389238,Ford,Fusion,2013
104,760179,Toyota,Highlander,2008
105,939905,Chevrolet,Malibu,2014
106,872814,Mercedes,E400,2002
107,632627,Saab,95,2000
108,283414,Volkswagen,Passat,1997
109,163161,Saab,93,2000
110,853360,Nissan,Ultima,2006
111,776860,Dodge,RAM,2010
112,149367,Ford,F150,2015
113,395269,BMW,X5,2001
114,981123,Saab,93,2007
115,143626,Ford,F150,2001
116,648397,Accura,MDX,1997
117,154982,Suburu,Legacy,2002
118,330591,Toyota,Highlander,2011
119,319232,Ford,Fusion,2015
120,531640,BMW,3 Series,2010
121,368050,Volkswagen,Passat,2000
122,253791,Ford,Fusion,2008
123,155724,Nissan,Maxima,1999
124,824540,Accura,MDX,1995
125,717392,BMW,X5,2011
126,965768,Ford,Escape,2013
127,414779,Suburu,Impreza,2001
128,428230,BMW,M5,1998
129,517240,BMW,X5,2006
130,469874,Saab,92x,2000
131,718428,Ford,Escape,1999
132,620215,Dodge,RAM,2012
133,618659,Nissan,Pathfinder,2013
134,649082,Jeep,Wrangler,2002
135,437573,BMW,3 Series,2006
136,964657,Volkswagen,Passat,1996
137,932502,Ford,Escape,2015
138,434507,BMW,X5,2010
139,935277,Toyota,Camry,1999
140,756054,BMW,X5,1995
141,682387,Mercedes,E400,2008
142,456604,Suburu,Forrestor,2001
143,139872,Chevrolet,Silverado,2013
144,354105,Accura,MDX,2012
145,165485,Accura,MDX,2011
146,515050,Accura,TL,2002
147,795686,BMW,X6,1996
