vendor_id,vendor_name,address_line1,address_line2,city,state,postal_code,is_shared_address
VNDR00001,"King, Proctor and Jones",2027 North Shannon Drive,#5,Fayetteville,AR,72703,False
VNDR00002,Garcia Ltd,5701 East Shirley Lane,,Montgomery,AL,36117,False
VNDR00003,Cherry LLC,1217 Cottondale Road,,Montgomery,AL,36109,True
VNDR00004,Mays-Benson,227 West Montgomery Cross Road,#736,Savannah,GA,31406,False
VNDR00005,Wilson PLC,23 North Hill Street,,Nashville,TN,37210,False
VNDR00006,Wallace Inc,6324 Moore Circle,,Arvada,CO,80004,False
VNDR00007,"Alexander, Huynh and Hall",9 Thomas Street,,Ashland,MA,01721,False
VNDR00008,"Young, Williams and Pope",1497 Greenbrier Road,,West Sacramento,CA,95691,False
VNDR00009,"Flores, Haas and Fox",7912 Depew Street,,Arvada,CO,80003,False
VNDR00010,Mcclure Ltd,243 Kentucky Avenue,,Pasadena,MD,21122,False
VNDR00011,Morton LLC,218 Turtle Cove,,Panama City Beach,FL,32413,False
VNDR00012,"Robertson, Perkins and Walton",5029 Montclair Drive,,Nashville,TN,37211,False
VNDR00013,Thomas Group,2269 Eastern Boulevard,,Montgomery,AL,36117,False
VNDR00014,Smith-Murphy,618 Ava Circle Northeast,,Washington,DC,20017,False
VNDR00015,Parker-Blake,3704 Hughes Road,,Louisville,KY,40207,True
VNDR00016,Navarro PLC,5856 Parfet Court,,Arvada,CO,80004,False
VNDR00017,Reese Ltd,302 Mcmillin Street,,Nashville,TN,37203,False
VNDR00018,Bradley Ltd,4510 Eastern Avenue Northeast,,Washington,DC,20018,False
VNDR00019,Wells-Hooper,6521 North 65th Avenue,#1D,Glendale,AZ,85301,False
VNDR00020,"Hamilton, Alexander and Wilkins",328 17th Street,,Paso Robles,CA,93446,False
VNDR00021,"Willis, Griffin and Olsen",3373 Runnymede Place Northwest,,Washington,DC,20015,False
VNDR00022,Paul Group,18330 North 79th Avenue,#3155,Glendale,AZ,85308,False
VNDR00023,Mckinney-Campbell,8219 Minor Lane,#9,Louisville,KY,40219,False
VNDR00024,Rodriguez PLC,5556 West Northview Avenue,,Glendale,AZ,85301,False
VNDR00025,Wright Group,3231 North Kings Cross,,Fayetteville,AR,72703,False
VNDR00026,Bray PLC,736 Middle Turnpike East,,Manchester,CT,06040,False
VNDR00027,"Bennett, Padilla and Williams",4024 Northwest 16th Street,,Oklahoma City,OK,73107,True
VNDR00028,"Hawkins, Hernandez and Carter",38676 Greenwich Circle,,Fremont,CA,94536,False
VNDR00029,Grant-Carter,4439 Gale Street,,Livermore,CA,94550,True
VNDR00030,Smith Inc,38 Renwick Road,,Melrose,MA,02176,False
VNDR00031,Johnson Ltd,2619 North Quality Lane,#315,Fayetteville,AR,72703,False
VNDR00032,"Horne, Hinton and Lee",1516 Ringe Drive,,Severn,MD,21144,False
VNDR00033,Hooper-Garrett,1522 South 36th Street,,Louisville,KY,40211,False
VNDR00034,Davis and Sons,1079 East Kentucky Street,,Louisville,KY,40204,False
VNDR00035,Dixon Group,841 Whittier Hill Road,,Calais,VT,05647,True
